买方客户,得分
999800022169CF,19.8
999800022327SR,18
999800025260SR,54
999800038124SR,36
999800045171CF,35.9097
999800008838CF,39.6
999800016764CF,32.4
999800025908SR,36
999800000049CF,16.2
999800014968SR,48
999800031415SR,36
999800042483SR,36
999800002451CF,32.4
999800018120SR,42
999800021135SR,0
999800030214CF,31.8
999800049897SR,0
999800045341SR,36
999800028349SR,36
999800012733CF,28.2
999800001506SR,36
999800025139SR,36
999800046223SR,42
999800031114SR,60
999800049397CF,0
999800049299CF,0
999800026050SR,42
999800033079CF,28.2
999800045278CF,43.8
999800048622SR,60
999800028032CF,55.8
999800029658SR,36
999800040327CF,19.8
999800041754SR,0
999800014610CF,55.8
999800001078SR,24
999800015858SR,18
999800005712CF,28.2
999800032629CF,48
999800017777CF,43.8
999800043695SR,42
999800000331SR,36
999800006660CF,39.6
999800003417CF,43.8
999800032936SR,36
999800031716CF,28.2
999800034450SR,36
999800018699SR,60
999800004926CF,48
999800041131CF,55.8
999800031489CF,31.8
999800004581CF,23.8667
999800023610CF,24
999800033607CF,16.2
999800011846CF,48
999800021702CF,36
999800005358CF,19.8
999800012487CF,39.6
999800035795CF,55.8
999800042507CF,24
999800006076CF,55.8
999800008644SR,18
999800009202CF,24
999800019655CF,55.8
999800009485CF,36
999800006810CF,55.8
999800039221SR,18
999800049120SR,0
999800044955SR,54
999800032817CF,36
999800021193SR,0
999800025368CF,19.8
999800011691CF,39.6
999800001846CF,19.8
999800028638SR,54
999800009040SR,60
999800025250SR,18
999800013523CF,52.2
999800047034SR,30
999800031747CF,39.6
999800015251CF,43.8
999800035432SR,36
999800014922CF,43.8
999800047809SR,24
999800024228CF,48
999800045977SR,60
999800035695SR,18
999800000937CF,36
999800011939CF,48
999800020035SR,30
999800016618SR,60
999800040248SR,36
999800004231CF,29.6
999800031975SR,0
999800016951SR,0
999800001750CF,36
999800042931SR,54
999800019433SR,42
999800035442SR,36
999800004272CF,43.8
999800040016SR,36
999800006852CF,19.8
999800041531SR,36
999800005551SR,60
999800008434CF,43.8
999800046694CF,19.8
999800047378SR,60
999800008000SR,36
999800019652SR,60
999800034223CF,27.6
999800015265SR,36
999800037018CF,24
999800006736SR,36
999800025450SR,36
999800034893SR,36
999800013786CF,36
999800028667CF,43.8
999800028978SR,36
999800000882SR,42
999800049262CF,0
999800028729SR,0
999800024103SR,36
999800005639CF,39.6
999800033279CF,32.4
999800000468CF,43.8
999800005347CF,25
999800039142CF,52.2
999800034015SR,42
999800026099CF,43.8
999800015887SR,36
999800041313SR,36
999800040445SR,36
999800042691CF,55.8
999800005136SR,42
999800000100CF,41.7652
999800005835SR,36
999800031704CF,28.2
999800011826CF,19.8
999800045003SR,36
999800023174SR,36
999800023929CF,36
999800025824SR,54
999800044377SR,36
999800038860CF,43.8
999800042097SR,18
999800014208SR,42
999800002420CF,36
999800024946SR,42
999800023796CF,12
999800012496SR,36
999800047421CF,51.6
999800045250SR,30
999800029319SR,24
999800043385SR,36
999800003145SR,60
999800023151CF,36
999800007125SR,36
999800024350SR,36
999800005989CF,39.6
999800033597SR,36
999800038641SR,42
999800007075SR,60
999800000581CF,36
999800036261CF,31.8
999800007016CF,43.8
999800002876CF,0
999800010772CF,52.2
999800041479CF,19.8
999800025477SR,36
999800021128SR,60
999800020436CF,39.6
999800026899CF,31.8
999800040364CF,19.8
999800041350SR,42
999800037587CF,24
999800039598SR,60
999800002606CF,55.8
999800010067CF,19.8
999800034009SR,42
999800006895CF,52.2
999800022274CF,20.4
999800027442SR,30
999800037589CF,42.8308
999800011980CF,16.8
999800043273SR,60
999800004270CF,43.8
999800037676SR,60
999800012995SR,36
999800008951CF,24
999800040803SR,60
999800032721CF,16.68
999800028905SR,60
999800023859SR,42
999800021363SR,18
999800045949CF,48
999800020618CF,24
999800038830CF,24
999800037758CF,39.6
999800043205SR,36
999800024611SR,54
999800046968CF,19.8
999800023290CF,40.2
999800018745CF,28.2
999800026107SR,36
999800018983CF,43.8
999800017123CF,36
999800011156SR,48
999800004883CF,19.8
999800019121SR,36
999800047992CF,43.8
999800031041SR,36
999800024693SR,60
999800033521CF,24
999800040652CF,24
999800031877CF,20.4
999800014593SR,36
999800003453CF,20.7692
999800001821CF,36
999800005467CF,48
999800025162CF,48
999800035799CF,43.8
999800002942SR,36
999800034157CF,43.8
999800010786CF,28.2
999800011496CF,24
999800038623SR,42
999800038087SR,54
999800027393CF,24
999800046367SR,60
999800012106CF,43.8
999800025418CF,43.8
999800048806CF,43.8
999800015914CF,40.2
999800036579SR,60
999800019278SR,48
999800046252SR,42
999800017292SR,36
999800002403CF,19.8
999800016897CF,55.8
999800026748SR,30
999800011451SR,42
999800023027SR,30
999800001395CF,46.8361
999800045324SR,48
999800036353CF,43.8
999800037342CF,36
999800032293CF,31.8
999800038467CF,39.6
999800023157CF,55.8
999800028381CF,19.8
999800014916SR,0
999800027184SR,36
999800017172SR,36
999800011856SR,42
999800014145SR,48
999800001033SR,0
999800000375SR,36
999800018163SR,36
999800007563CF,27.6
999800025256SR,36
999800017542CF,31.8
999800027644CF,55.8
999800007317SR,42
999800027840CF,60
999800044282CF,17.3455
999800002388CF,31.8
999800046223CF,55.8
999800036485SR,54
999800006071SR,36
999800026485SR,24
999800013067SR,36
999800039829SR,60
999800004921SR,36
999800021867SR,48
999800013949SR,42
999800010729SR,60
999800045563SR,36
999800028240CF,23.6286
999800022306CF,36
999800025986CF,24
999800041834CF,52.2
999800045480CF,19.8
999800041603CF,31.8
999800042224SR,30
999800014127CF,43.8
999800001753CF,36
999800016522CF,19.8
999800038944CF,36
999800032813SR,42
999800037858CF,43.8
999800048735SR,42
999800009718SR,36
999800005261CF,21.6
999800014448SR,60
999800044713CF,19.8
999800046136CF,43.8
999800006503SR,18
999800041967SR,36
999800045583SR,60
999800049990SR,0
999800018624SR,60
999800045116CF,36
999800017812CF,28.2
999800022155SR,54
999800037954CF,43.8
999800046498CF,0
999800003329CF,31.8
999800009191SR,42
999800007081SR,30
999800033310SR,60
999800003919CF,48
999800019092CF,24
999800023098SR,60
999800038533SR,60
999800042453SR,42
999800013932CF,39.6
999800028673SR,60
999800039010CF,36
999800043929SR,42
999800044027CF,43.8
999800023586SR,18
999800008560CF,55.8
999800012824SR,54
999800048791SR,36
999800023649CF,55.8
999800022895CF,39.6
999800028788SR,48
999800040714SR,36
999800031331SR,60
999800034587SR,36
999800019163CF,19.8
999800013726CF,19.8
999800033096CF,36
999800012747SR,30
999800025894CF,55.8
999800015101CF,39.6
999800002497SR,54
999800003439CF,24
999800012567CF,36
999800004796SR,30
999800039559SR,0
999800042484CF,27.3231
999800036985SR,48
999800043213CF,12
999800032813CF,19.8
999800005331CF,36
999800044115SR,60
999800003273SR,36
999800013811SR,36
999800025789CF,36
999800022078CF,19.8
999800011040CF,28.2
999800006134CF,24
999800038267CF,36
999800011368CF,19.8
999800004550SR,36
999800046761CF,55.8
999800033501SR,36
999800003852CF,24
999800025458SR,60
999800016727SR,36
999800038151CF,48
999800021296CF,16.2
999800043280CF,19.8
999800048708CF,36
999800010452CF,39.6
999800026869CF,36
999800034930CF,52.2
999800034506SR,36
999800040555CF,39.6
999800018679CF,36
999800036285CF,24
999800016405SR,54
999800029867CF,19.8
999800012629CF,55.8
999800024577SR,24
999800027482SR,36
999800027230CF,39.6
999800002044CF,24
999800031368CF,19.8
999800048083SR,42
999800032328SR,36
999800013549CF,55.8
999800013804CF,48
999800044585SR,36
999800001435CF,52.2
999800040939CF,43.8
999800034783CF,43.8
999800016984CF,40.2
999800042526SR,0
999800026995CF,55.8
999800048387CF,55.8
999800036579CF,60
999800044837SR,36
999800047356SR,48
999800024881CF,19.8
999800042725SR,36
999800037419CF,52.2
999800003958CF,16.2
999800004569SR,24
999800030250SR,36
999800028332CF,48
999800029059CF,39.6
999800004001SR,36
999800015996SR,24
999800049360SR,0
999800038369CF,0
999800011270CF,32.4
999800035548CF,19.8
999800007647SR,18
999800011679SR,60
999800006782SR,24
999800016270CF,24
999800041026SR,42
999800019867CF,43.8
999800035471CF,31.8
999800044838CF,48
999800048628CF,31.8
999800020757CF,55.8
999800030396CF,24
999800007217SR,60
999800048826CF,36
999800024656SR,60
999800049455SR,0
999800027457SR,0
999800023691SR,54
999800008341CF,48
999800048158CF,31.8
999800015832SR,0
999800013773CF,43.8
999800043344SR,36
999800043095SR,36
999800012296SR,42
999800034304CF,0
999800016341SR,36
999800000200SR,60
999800010528CF,36
999800032359CF,21.8644
999800037308SR,42
999800001593CF,43.8
999800002299SR,24
999800026740CF,35.6153
999800004285CF,16.2
999800001355CF,43.8
999800024466SR,42
999800020253SR,60
999800021257CF,24
999800042137SR,36
999800032615SR,36
999800024864CF,30.6154
999800040492SR,36
999800039079SR,36
999800047125CF,36
999800041292SR,48
999800011247SR,42
999800003485SR,18
999800041856CF,40.0863
999800003184SR,42
999800042434SR,36
999800009467SR,0
999800015674SR,48
999800034281SR,36
999800044561CF,48
999800024052SR,36
999800009825SR,36
999800027555SR,42
999800022620SR,42
999800005268SR,42
999800046509CF,48
999800027060SR,42
999800003186CF,39.6
999800029870CF,19.8
999800044586CF,24
999800038652CF,55.8
999800014846CF,43.8
999800015873CF,19.8
999800046546SR,36
999800026653SR,54
999800006060SR,36
999800048008CF,55.8
999800036774CF,19.8
999800013848SR,24
999800000993CF,24
999800041227CF,19.8
999800019431SR,18
999800002433CF,19.8
999800034998SR,24
999800008857SR,48
999800044055CF,19.8
999800003763CF,12
999800010320CF,52.2
999800032187CF,55.8
999800041582SR,0
999800039655SR,24
999800013052CF,24.84
999800042522SR,36
999800009213SR,24
999800011622SR,36
999800044890CF,19.8
999800017287SR,60
999800041142CF,52.2
999800029489CF,24
999800035410CF,16.2
999800006423SR,42
999800026249SR,48
999800035540SR,36
999800016046SR,60
999800049066SR,0
999800023307CF,19.8
999800026008SR,42
999800004193SR,0
999800037151SR,60
999800020112SR,18
999800025709CF,48
999800049629CF,0
999800027955SR,24
999800000368SR,36
999800038996SR,60
999800010696CF,24
999800012218SR,48
999800003406CF,36
999800005921SR,60
999800046420SR,36
999800014041SR,36
999800017005CF,24
999800021849CF,19.8
999800020586CF,48
999800048474CF,51.331
999800022592SR,0
999800018245CF,43.8
999800027341CF,24
999800020980CF,36
999800048281CF,55.8
999800016921CF,48
999800016266CF,55.8
999800016962CF,28.2
999800040307CF,19.8
999800023898CF,39.6
999800039489SR,36
999800025606CF,24
999800002832SR,42
999800031377CF,19.8
999800013484CF,55.8
999800043519SR,36
999800025079CF,48
999800006896SR,42
999800008886CF,60
999800022232SR,42
999800049399SR,0
999800000113CF,43.8
999800025691SR,42
999800037401CF,24
999800004087SR,36
999800036465SR,36
999800023529CF,39.368
999800009252CF,31.8
999800042444SR,36
999800034220CF,19.8
999800002365CF,20.4
999800035055SR,36
999800001479SR,60
999800009918CF,48
999800017499SR,36
999800036249CF,36
999800035784CF,43.8
999800038210CF,28.2
999800015800SR,36
999800010499SR,60
999800045613SR,18
999800039017CF,39.6
999800017961SR,0
999800009806SR,36
999800014699SR,18
999800002309CF,19.8
999800032185CF,19.8
999800026905SR,24
999800016359CF,16.2679
999800006743CF,36
999800033152SR,54
999800015636SR,36
999800043848SR,36
999800048404CF,55.8
999800044387CF,52.8732
999800000947CF,52.2
999800046570CF,24
999800016974SR,60
999800018200CF,19.8
999800015965SR,36
999800038586CF,19.8
999800048638CF,36
999800020344CF,31.8
999800005063SR,60
999800019349SR,36
999800049599CF,0
999800023767SR,36
999800039708SR,24
999800000925SR,36
999800042499SR,36
999800026813SR,60
999800010748SR,0
999800016532CF,48
999800002930CF,55.8
999800030413SR,0
999800018851CF,16.2
999800027717SR,24
999800026365CF,24
999800019728SR,36
999800035655CF,24
999800041150CF,31.8
999800019178SR,0
999800019991CF,43.8
999800019511CF,43.8
999800017040SR,30
999800016465SR,18
999800033863CF,55.8
999800016344CF,36
999800026665CF,36
999800038698SR,36
999800049407CF,0
999800009128SR,60
999800024151SR,36
999800049367SR,0
999800000840CF,19.8
999800044978CF,19.8
999800035123SR,36
999800018473SR,36
999800023188SR,36
999800021655SR,36
999800016385CF,48
999800041683CF,43.8
999800049996CF,0
999800016289SR,36
999800006671CF,31.8
999800031400CF,55.8
999800005255SR,30
999800000869CF,52.1311
999800013065CF,52.2
999800017404CF,48
999800026028SR,36
999800028592SR,24
999800048619SR,36
999800048077CF,36
999800002214CF,36
999800038964CF,43.8
999800013730CF,55.8
999800048152SR,36
999800033947SR,36
999800005599SR,24
999800002392SR,36
999800030371CF,19.8
999800000770SR,30
999800049577CF,0
999800038380CF,19.8
999800035534CF,52.2
999800020403CF,31.8
999800023657CF,48
999800002156SR,36
999800011189CF,31.8
999800012985SR,36
999800018684SR,18
999800030586CF,28.2
999800022442SR,36
999800049812SR,0
999800007704SR,60
999800016312CF,39.6
999800010844SR,36
999800000774CF,36
999800042299CF,52.2
999800019825SR,36
999800004363CF,36
999800049704CF,0
999800037036CF,55.8
999800028857CF,48
999800003971SR,30
999800014160SR,36
999800043362SR,42
999800004880CF,19.8
999800028275CF,43.8
999800042274CF,43.8
999800043694CF,48
999800031036SR,54
999800005695CF,36
999800005643CF,55.8
999800021883CF,40.2
999800046745CF,19.8
999800033749SR,30
999800033903CF,48
999800015366CF,31.8
999800042961CF,16.2
999800015128CF,19.8
999800028163CF,24.1235
999800048277CF,43.8
999800006752CF,16.2
999800029394SR,42
999800024237CF,24
999800017926SR,60
999800031403CF,24
999800011341CF,12
999800013527CF,48
999800037003SR,54
999800042166SR,24
999800004510CF,24
999800016916SR,36
999800013060CF,48
999800040661CF,19.8
999800004292SR,42
999800049250CF,0
999800024079SR,36
999800047007SR,36
999800018714SR,36
999800018036CF,39.6
999800018499CF,55.8
999800011151CF,48
999800016246CF,39.6
999800020702CF,24
999800024952SR,36
999800023518SR,48
999800035622SR,36
999800046153SR,60
999800000847CF,28.2
999800039467CF,19.8
999800026996SR,60
999800031336CF,19.8
999800020190CF,55.8
999800042966SR,36
999800007474CF,24
999800039684SR,30
999800022509CF,27.264
999800048895CF,39.6
999800040399CF,41.84
999800022558CF,55.8
999800049117CF,24
999800046028CF,36
999800031318SR,36
999800001392CF,34.5176
999800043348CF,24
999800030066CF,19.8
999800010654CF,19.814
999800034263SR,60
999800015184SR,36
999800035356SR,36
999800049324SR,0
999800040113SR,36
999800042888CF,19.8
999800030557CF,31.8
999800049259SR,0
999800029090SR,36
999800014776CF,27.6
999800001272CF,55.8
999800044853CF,39.6
999800013820CF,31.8
999800029662CF,19.8
999800023949SR,60
999800040857SR,60
999800049526SR,0
999800002983SR,36
999800005997SR,54
999800030008SR,36
999800034355CF,39.6
999800026401CF,31.8
999800031548CF,31.8
999800024403CF,43.8
999800018799CF,12.25
999800002384CF,43.8
999800003771SR,60
999800030302CF,39.6
999800000930CF,16.2
999800028107CF,31.8
999800018498CF,31.8
999800001739CF,39.6
999800002108SR,36
999800027805CF,34.95
999800007743CF,39.6
999800028390SR,36
999800046489CF,0
999800038965SR,0
999800010139CF,43.8
999800047273CF,43.8
999800033044CF,19.8
999800044069SR,36
999800007489SR,42
999800014071SR,42
999800029638CF,41.3342
999800032126CF,48
999800000418CF,39.6
999800033907SR,0
999800048873SR,0
999800009737CF,19.8
999800022728SR,36
999800000729SR,36
999800016499SR,36
999800044436CF,43.8
999800048226SR,60
999800019291SR,30
999800024523SR,36
999800025739CF,43.8
999800014377CF,16.68
999800041037CF,36
999800010217CF,48
999800046587SR,48
999800033730SR,36
999800034694SR,24
999800046060SR,36
999800035029CF,43.8
999800046522SR,60
999800001213SR,54
999800005016CF,40.2
999800049925CF,0
999800030933SR,42
999800019049SR,0
999800018288CF,55.8
999800010381CF,32.4
999800026642SR,60
999800005377SR,0
999800001513SR,36
999800029289SR,18
999800043464CF,36
999800048751SR,48
999800042859CF,43.8
999800004498SR,36
999800034406SR,36
999800026373SR,30
999800015465SR,36
999800015088CF,43.8
999800038687SR,36
999800008562CF,43.8
999800031061SR,36
999800002700CF,40.2
999800024185SR,18
999800033798SR,54
999800009636SR,60
999800020122SR,24
999800037022SR,30
999800024505SR,36
999800025513CF,48
999800003783SR,36
999800043504SR,36
999800030475CF,39.6
999800044620SR,0
999800009311CF,19.8
999800042153CF,31.8
999800042020SR,24
999800046856CF,19.8
999800023736CF,48
999800045525SR,60
999800010063CF,24
999800037083CF,48
999800042536SR,36
999800007414SR,18
999800039092CF,36.9969
999800042291SR,60
999800032746CF,19.6286
999800035604CF,36
999800008805CF,60
999800019221SR,36
999800038672SR,42
999800033097CF,19.8
999800007886SR,60
999800032782CF,19.8
999800039446CF,19.8
999800046286CF,19.8
999800019883SR,36
999800004900CF,24
999800016023SR,36
999800001793CF,19.8
999800031096SR,0
999800032989SR,30
999800023128SR,36
999800014299CF,43.8
999800031952CF,19.8
999800019059SR,24
999800015756CF,24
999800005341SR,24
999800032607SR,30
999800018394SR,54
999800039150CF,19.8
999800024248CF,52.2
999800000546CF,20.9351
999800001831CF,48
999800023998CF,19.8
999800023210SR,24
999800034147SR,36
999800044978SR,36
999800034932CF,24
999800008932CF,39.6
999800025474SR,42
999800044976CF,19.8
999800031276SR,24
999800001029SR,54
999800043574CF,48
999800013994CF,19.8
999800029156CF,19.8
999800017437CF,24
999800040166SR,24
999800034500CF,19.8
999800032958SR,24
999800021234CF,43.8
999800014577SR,18
999800003267CF,24
999800042072SR,42
999800044384CF,33.36
999800004885CF,36
999800040499CF,39.6
999800048187CF,24
999800013968SR,36
999800036516CF,36
999800024337CF,36
999800018663SR,0
999800003641SR,60
999800045963CF,39.6
999800034929CF,19.8
999800030383CF,55.8
999800009757SR,18
999800029515SR,36
999800010570SR,60
999800018952CF,55.8
999800013948CF,24
999800028864SR,24
999800018415CF,43.8
999800021272CF,20.4
999800001300SR,54
999800046565CF,55.8
999800041530CF,19.8
999800044895CF,43.8
999800012109SR,36
999800038453CF,19.8
999800002249SR,36
999800016012SR,0
999800017779CF,0
999800026686SR,0
999800003807SR,30
999800044486CF,55.8
999800027773SR,36
999800039680CF,16.2
999800032334SR,36
999800027344CF,31.8
999800037814CF,19.8
999800040221SR,18
999800038893SR,48
999800029142SR,36
999800020185SR,36
999800025311CF,31.8
999800025008SR,36
999800036064CF,48
999800035858CF,34.8769
999800021165SR,18
999800048664SR,36
999800036419CF,19.8
999800038323CF,48
999800018670SR,42
999800049801CF,0
999800044759SR,36
999800023143CF,48
999800040520CF,19.8
999800012794SR,60
999800004815CF,32.4
999800047883CF,39.6
999800025460CF,40.2
999800042577SR,0
999800015378SR,18
999800043064SR,30
999800035683SR,36
999800041731SR,60
999800027827SR,36
999800027218CF,40.2
999800003964CF,31.8
999800026319SR,36
999800031495CF,43.8
999800047215CF,19.8
999800006341SR,36
999800015832CF,43.8
999800049301CF,0
999800031986CF,39.6
999800029947CF,27.6
999800017048SR,24
999800014226CF,19.8
999800034456SR,36
999800009473SR,36
999800015370CF,19.8
999800009482SR,18
999800005361SR,42
999800041654CF,31.8
999800007100CF,52.2
999800038662CF,28.2
999800005378SR,54
999800049767CF,0
999800030342SR,60
999800039300SR,36
999800012445SR,36
999800034924CF,16.2
999800018189CF,52.2
999800044901CF,19.8
999800048511CF,31.8
999800034361CF,48
999800012132CF,34.8333
999800031011CF,39.6
999800049228CF,0
999800018809CF,55.8
999800023160SR,0
999800004038SR,0
999800002364SR,42
999800035445SR,60
999800002487CF,16.2
999800018295CF,55.8
999800047228CF,43.8
999800016492SR,36
999800045969SR,60
999800002252SR,42
999800021496SR,36
999800015990SR,36
999800014567SR,60
999800048663CF,31.8
999800041211SR,24
999800025919SR,18
999800037451CF,36
999800039081CF,19.8
999800049265SR,0
999800006989SR,24
999800032112CF,19.8
999800016578CF,43.8
999800014148SR,36
999800014794SR,30
999800018020CF,36
999800035857SR,36
999800029955SR,42
999800015169CF,43.8
999800049610SR,0
999800016231SR,36
999800032151SR,36
999800016565SR,60
999800042104CF,48
999800005387SR,42
999800011327SR,18
999800035476CF,24
999800000500CF,39.6
999800023466CF,43.8
999800042884CF,36
999800041432SR,42
999800007167CF,27.6
999800025698CF,60
999800017597SR,36
999800019448CF,19.8
999800000052CF,28.2
999800012309CF,24
999800047575SR,30
999800037801SR,36
999800021120SR,36
999800004494CF,31.8
999800032173SR,0
999800030817CF,43.8
999800023785CF,48
999800044006CF,48
999800006538CF,19.8
999800046981CF,19.8
999800002882SR,42
999800045448SR,60
999800044601CF,28.2
999800047244CF,36
999800039501SR,60
999800046896CF,28.2
999800021706SR,0
999800028460SR,36
999800006017SR,42
999800021138SR,36
999800009788SR,36
999800017374CF,19.8
999800037934CF,52.2
999800008950CF,40.2
999800048700CF,48
999800040097SR,42
999800020544CF,24
999800015261CF,55.8
999800047618CF,24
999800025592SR,24
999800005019CF,33.3167
999800039755CF,36
999800032683SR,42
999800048529CF,48
999800049424SR,0
999800001377SR,60
999800027475CF,55.8
999800049665CF,0
999800003886SR,30
999800006891SR,24
999800010194SR,42
999800001147SR,24
999800041718SR,36
999800035984CF,43.8
999800015122CF,24
999800023306CF,0
999800023500SR,36
999800007571SR,36
999800046596CF,43.8
999800046336CF,19.8
999800040372CF,0
999800018797SR,36
999800027735CF,19.8
999800048604SR,60
999800004062SR,36
999800046479CF,17.9727
999800041614SR,36
999800020040SR,24
999800007281CF,55.8
999800016905CF,19.8
999800007638CF,39.6
999800003086CF,39.6
999800004617SR,30
999800017482SR,24
999800028823CF,19.8
999800028274CF,43.8
999800026029CF,43.8
999800020792CF,55.8
999800029332CF,43.8
999800037894CF,19.8
999800026947CF,43.8
999800018775CF,19.8
999800015050CF,48
999800037970CF,39.6
999800038177SR,36
999800042943SR,42
999800004080CF,19.8
999800005641CF,19.8
999800014069CF,27.6
999800026728CF,19.8
999800006542CF,43.8
999800024801CF,0
999800028118CF,39.6
999800016750CF,41.3933
999800036347SR,60
999800037721CF,19.8
999800024354CF,43.8
999800017518SR,36
999800045072CF,43.8
999800011363CF,55.8
999800026963CF,19.8
999800017020CF,16.2
999800008449CF,31.8
999800001087SR,36
999800041636CF,43.8
999800033345SR,18
999800041499SR,36
999800049556SR,0
999800000494SR,60
999800029725CF,43.8
999800016184CF,48
999800033656SR,0
999800049726SR,0
999800033586CF,43.8
999800016335CF,36
999800017035CF,31.8
999800044839SR,60
999800034755CF,48
999800049442SR,0
999800041371SR,54
999800011932SR,60
999800017492SR,54
999800020846SR,36
999800048793CF,43.8
999800006904SR,30
999800037541CF,31.8
999800040169SR,60
999800045497CF,19.8
999800015610SR,36
999800003397CF,42.1286
999800025229CF,52.2
999800041122CF,48
999800009539SR,60
999800026538SR,18
999800009331SR,60
999800011534SR,54
999800005643SR,0
999800044158SR,36
999800024657CF,39.6
999800008131CF,24
999800003844SR,36
999800035895CF,48
999800047563CF,32.4
999800020896CF,39.6
999800033411CF,26.0875
999800044522SR,54
999800008325CF,28.2
999800049545CF,0
999800011761SR,24
999800022706SR,60
999800039129CF,43.8
999800042689CF,31.8
999800013782CF,43.8
999800006250SR,36
999800035380CF,31.8
999800027204CF,54.6857
999800007160CF,19.8
999800012262CF,55.8
999800000689CF,48
999800006013CF,55.8
999800019679SR,60
999800002191SR,54
999800028524CF,19.8
999800017877CF,38.4109
999800049737CF,0
999800049790CF,0
999800026401SR,30
999800014064CF,40.2
999800045435CF,16.2
999800049744SR,0
999800014700SR,42
999800030265CF,24
999800029937CF,43.8
999800035369SR,36
999800018063CF,39.6
999800029558CF,39.6
999800005898CF,19.8
999800007089CF,24
999800002464SR,30
999800006266SR,0
999800043944SR,54
999800028902CF,0
999800016132SR,54
999800043425SR,36
999800016708CF,48
999800008150SR,18
999800002511SR,36
999800019359CF,19.8
999800022163SR,24
999800030555SR,36
999800023766SR,30
999800046402SR,18
999800017588SR,42
999800042767CF,19.8
999800022363CF,16.2
999800003932CF,16.2
999800025144CF,48
999800031459CF,42.968
999800013330SR,36
999800038099CF,12
999800045229SR,36
999800033181CF,39.6
999800018521SR,36
999800000655SR,36
999800028070SR,18
999800010984CF,52.2
999800037269CF,19.8
999800009080CF,19.8
999800049222CF,0
999800011782CF,12
999800007862SR,60
999800032864CF,55.8
999800030596CF,24
999800000389SR,60
999800015313CF,27.6
999800030159CF,40.8571
999800007775CF,32.4
999800022296SR,36
999800027730CF,24
999800031531CF,48
999800022679CF,24
999800016548SR,36
999800046611CF,19.8
999800013048CF,55.8
999800017084CF,55.8
999800032974CF,19.8
999800002753CF,52.2
999800033624CF,19.8
999800000537SR,60
999800005481CF,19.8
999800004937CF,43.8
999800046917SR,60
999800049240SR,0
999800029620CF,19.8
999800008187CF,19.8
999800013327CF,52.2
999800018645CF,24
999800024176CF,43.8
999800023097SR,36
999800020971SR,0
999800009620SR,18
999800016924SR,36
999800003427SR,36
999800040136SR,36
999800002129CF,39.6
999800030894CF,41.616
999800006594SR,36
999800009975SR,54
999800014749CF,39.6
999800035384CF,43.8
999800038128SR,42
999800015529SR,18
999800008058SR,42
999800033315SR,36
999800004317SR,36
999800033012CF,39.6
999800004481SR,60
999800032340CF,19.8
999800031010SR,36
999800014808SR,36
999800029088CF,39.6
999800043607SR,42
999800041203CF,16.2
999800003787CF,43.8
999800015001SR,30
999800016904SR,54
999800023461CF,31.8
999800039486SR,54
999800024510CF,48
999800027786CF,43.8
999800018642SR,36
999800033296CF,24
999800003753CF,24
999800048713CF,31.8
999800015659CF,43.8
999800013182SR,42
999800037407CF,24
999800012105CF,60
999800048015CF,24
999800042584SR,42
999800006208CF,19.8
999800001595SR,0
999800041454SR,36
999800046295CF,24
999800049606SR,0
999800044275CF,48
999800018314SR,24
999800009761CF,16.2
999800037466CF,55.8
999800005944SR,24
999800043829CF,31.8
999800049596CF,0
999800045337SR,36
999800000956CF,19.8
999800005330CF,31.8
999800012047SR,36
999800013625CF,36
999800040662CF,36
999800022192SR,30
999800030159SR,36
999800045468SR,36
999800020916SR,24
999800014925CF,20.1
999800019452SR,42
999800019281CF,27.6
999800032209CF,39.6
999800045588SR,36
999800024549CF,19.8
999800021666SR,54
999800020627CF,28.2
999800041385SR,0
999800036656CF,55.8
999800002005SR,60
999800049649SR,0
999800033535SR,36
999800042920SR,24
999800007725SR,36
999800000043CF,19.8
999800002069SR,24
999800005604CF,19.8
999800035783SR,36
999800049855SR,0
999800029534SR,36
999800028583CF,19.8
999800001330CF,24
999800033065SR,60
999800044780SR,54
999800038602CF,24
999800019300CF,28.2
999800028678CF,52.2
999800035305CF,19.8
999800029239SR,42
999800037051SR,36
999800038056SR,36
999800043339CF,40.0983
999800008033CF,0
999800034828CF,36
999800019557SR,0
999800011522SR,36
999800036172CF,55.8
999800002105CF,36
999800018496CF,28.2
999800013149SR,0
999800008653CF,19.8
999800002124SR,54
999800040424SR,36
999800027434CF,39.6
999800016094SR,0
999800010002CF,39.6
999800005093SR,18
999800048959SR,54
999800018425CF,31.8
999800035395CF,55.8
999800049489CF,0
999800024073CF,55.8
999800022783CF,31.8
999800017792CF,31.8
999800038116CF,12
999800047811SR,36
999800026276SR,0
999800028254CF,0
999800035209SR,60
999800043993CF,55.8
999800024709SR,42
999800040748SR,18
999800025082CF,28.2
999800011233SR,18
999800014161SR,36
999800025397CF,31.8
999800014242SR,42
999800026380SR,36
999800016590CF,19.8
999800002211SR,18
999800000201CF,43.8
999800021775SR,60
999800015886CF,43.8
999800047965SR,54
999800027788SR,0
999800026850CF,52.2
999800040667SR,36
999800025034SR,60
999800004008CF,43.8
999800016534CF,39.6
999800017894SR,60
999800027624SR,36
999800049993CF,0
999800030018CF,40.2
999800047039CF,20.4
999800012735CF,36
999800015180SR,24
999800049674CF,0
999800047424CF,55.8
999800031465CF,19.8
999800047466SR,36
999800040076SR,24
999800034165CF,19.8
999800024864SR,42
999800011394CF,43.8
999800028472CF,39.6
