买方客户,得分
999800028308SR,30
999800009344SR,54
999800007061SR,60
999800046224SR,60
999800037119SR,60
999800045544SR,36
999800042659SR,42
999800000419SR,60
999800003684SR,60
999800025964CF,43.8
999800017739SR,60
999800042956SR,60
999800004974SR,24
999800039163SR,60
999800009784SR,60
999800033459SR,42
999800037400SR,60
999800012395SR,60
999800037311SR,48
999800015388SR,60
999800000272SR,60
999800009710SR,36
999800008074CF,52.2
999800013664SR,60
999800004351SR,60
999800045595SR,18
999800017267SR,60
999800030657SR,60
999800026795SR,60
999800023156SR,42
999800018806SR,24
999800025198SR,42
999800025315SR,54
999800008413CF,43.8
999800013174SR,48
999800031598SR,60
999800044269SR,60
999800009013SR,54
999800042112SR,30
999800013144CF,31.8
999800041668SR,60
999800002903SR,60
999800010642SR,60
999800004028SR,60
999800026195SR,54
999800030870SR,60
999800029750SR,60
999800043470SR,60
999800016362SR,60
999800031672SR,60
999800047851SR,60
999800011817SR,42
999800004078SR,60
999800009866SR,54
999800038659SR,60
999800017251SR,60
999800016313SR,24
999800002764SR,24
999800047464SR,24
999800007630SR,54
999800031773SR,54
999800024189CF,39.6
999800011798SR,60
999800029524SR,36
999800017147SR,24
999800035129SR,54
999800006822CF,55.8
999800009674SR,36
999800025991SR,60
999800009206SR,54
999800016823SR,54
999800045878SR,60
999800043874SR,54
999800028640SR,60
999800034814SR,60
999800006083SR,60
999800028171SR,60
999800009330SR,36
999800014662SR,60
999800009526SR,60
999800008167SR,60
999800025602SR,54
999800046626SR,42
999800046316SR,60
999800044425SR,60
999800049922SR,0
999800038787SR,54
999800011195SR,60
999800028997SR,54
999800002896SR,36
999800037653SR,54
999800035831SR,54
999800010038SR,42
999800009812SR,36
999800012373SR,60
999800020521SR,60
999800025893SR,54
999800030447SR,60
999800021394SR,42
999800046149SR,60
999800035474SR,60
999800024842SR,54
999800000823SR,42
999800006034SR,54
999800022714SR,54
999800048611SR,54
999800039861SR,54
999800044571SR,54
999800001352SR,54
999800024275CF,48
999800038414SR,54
999800000471SR,54
999800034449SR,54
999800020887SR,54
999800031717SR,60
999800011691SR,54
999800022213SR,60
999800001762SR,24
999800031520SR,42
999800020794SR,60
999800005504SR,60
999800013511SR,42
999800021233SR,42
999800047841SR,60
999800030066SR,42
999800014865SR,36
999800031043SR,42
999800042826SR,54
999800033933SR,42
999800044989SR,42
999800048129SR,60
999800044109SR,42
999800024691SR,54
999800033940SR,42
999800047668SR,42
999800008556SR,24
